distance_km,operateur_enc,type_service_enc,type_ligne_enc,pays_enc,co2_emission_kg,heure_sin,heure_cos
498.8025790322493,0,0,1,1,6.98323610645149,0.9659258262890683,-0.25881904510252063
5.478156393341205,0,0,1,1,0.07669418950677687,0.9659258262890683,0.25881904510252074
521.3841514486248,0,0,1,1,7.299378120280748,0.9659258262890683,-0.25881904510252063
498.8025790322493,0,1,1,1,6.98323610645149,-0.5000000000000004,0.8660254037844384
79.94287053760999,0,0,1,1,1.1192001875265398,-0.7071067811865471,-0.7071067811865479
5.478156393341205,0,0,1,1,0.07669418950677687,-0.2588190451025208,-0.9659258262890683
449.9589894486501,0,0,1,1,6.299425852281101,0.49999999999999994,-0.8660254037844387
258.8136977662811,0,0,1,1,3.6233917687279353,0.49999999999999994,-0.8660254037844387
425.8357320275878,0,0,1,1,5.961700248386229,-0.9659258262890683,-0.25881904510252063
578.3517697686542,0,0,1,1,8.096924776761158,-1.0,-1.8369701987210297e-16
254.5886957328416,0,0,1,1,3.564241740259782,-0.4999999999999997,-0.8660254037844388
372.6486919618105,0,0,1,1,5.217081687465347,-0.7071067811865471,-0.7071067811865479
419.7549557678825,0,0,1,1,5.876569380750355,-0.8660254037844385,-0.5000000000000004
224.0009268763177,0,0,1,1,3.136012976268448,1.0,6.123233995736766e-17
258.8136977662811,0,0,1,1,3.6233917687279353,0.9659258262890683,-0.25881904510252063
419.7549557678825,0,0,1,1,5.876569380750355,-0.8660254037844386,0.5000000000000001
151.71752871747265,0,0,1,1,2.124045402044617,-0.8660254037844386,0.5000000000000001
451.39722106576073,0,0,1,1,6.31956109492065,-0.9659258262890683,-0.25881904510252063
295.2150483691684,0,0,1,1,4.1330106771683575,0.7071067811865476,-0.7071067811865475
475.2197517996769,0,0,1,1,6.653076525195476,-0.9659258262890683,-0.25881904510252063
521.3841514486248,0,0,1,1,7.299378120280748,-0.8660254037844386,0.5000000000000001
188.67938257042655,0,0,1,1,2.6415113559859718,0.9659258262890683,-0.25881904510252063
305.6499867542881,0,0,1,1,4.279099814560033,-0.7071067811865471,-0.7071067811865479
295.2150483691684,0,0,1,1,4.1330106771683575,0.8660254037844387,-0.4999999999999998
258.8136977662811,0,0,1,1,3.6233917687279353,0.9659258262890683,0.25881904510252074
419.7549557678825,0,0,1,1,5.876569380750355,-0.7071067811865477,0.7071067811865474
425.8357320275878,0,0,1,1,5.961700248386229,-0.9659258262890684,0.2588190451025203
78.54491902685257,0,0,1,1,1.099628866375936,0.49999999999999994,-0.8660254037844387
426.0379957205557,0,0,1,1,5.96453194008778,-0.9659258262890684,0.2588190451025203
201.18094575603388,0,0,1,1,2.8165332405844743,-0.4999999999999997,-0.8660254037844388
434.91917345524706,0,0,1,1,6.088868428373459,-0.7071067811865471,-0.7071067811865479
498.8025790322493,0,0,1,1,6.98323610645149,-1.0,-1.8369701987210297e-16
426.0379957205557,0,0,1,1,5.96453194008778,-0.9659258262890683,-0.25881904510252063
297.9927034050914,0,0,1,1,4.171897847671279,-0.9659258262890683,-0.25881904510252063
426.0379957205557,0,0,1,1,5.96453194008778,0.7071067811865476,-0.7071067811865475
394.7286906489506,0,0,1,1,5.5262016690853075,0.8660254037844387,-0.4999999999999998
472.99295778413745,0,0,1,1,6.621901408977924,0.9659258262890683,0.25881904510252074
419.7549557678825,0,0,1,1,5.876569380750355,-0.8660254037844385,-0.5000000000000004
498.8025790322493,0,0,1,1,6.98323610645149,-0.9659258262890683,-0.25881904510252063
498.8025790322493,0,0,1,1,6.98323610645149,1.0,6.123233995736766e-17
30.837947791674416,0,0,1,1,0.43173126908344184,0.9659258262890683,-0.25881904510252063
436.883447742805,0,0,1,1,6.11636826839927,0.9659258262890683,0.25881904510252074
498.8025790322493,0,0,1,1,6.98323610645149,-0.8660254037844385,-0.5000000000000004
498.8025790322493,0,0,1,1,6.98323610645149,0.49999999999999994,-0.8660254037844387
498.8025790322493,0,1,1,1,6.98323610645149,0.8660254037844386,0.5000000000000001
498.8025790322493,0,0,1,1,6.98323610645149,-0.8660254037844386,0.5000000000000001
499.9420576210358,0,0,1,1,6.999188806694502,0.7071067811865476,-0.7071067811865475
372.6486919618105,0,0,1,1,5.217081687465347,0.258819045102521,-0.9659258262890682
125.1981603033176,0,0,1,1,1.7527742442464465,0.49999999999999994,-0.8660254037844387
178.24759350159556,0,0,1,1,2.495466309022338,-1.0,-1.8369701987210297e-16
295.7736619362274,0,0,1,1,4.140831267107184,0.49999999999999994,-0.8660254037844387
295.7736619362274,0,0,1,1,4.140831267107184,0.49999999999999994,-0.8660254037844387
263.33568367655823,0,0,1,1,3.686699571471815,-0.9659258262890683,-0.25881904510252063
224.2336710007724,0,0,1,1,3.1392713940108137,-0.9659258262890684,0.2588190451025203
372.6486919618105,0,0,1,1,5.217081687465347,-0.4999999999999997,-0.8660254037844388
472.99295778413745,0,0,1,1,6.621901408977924,-0.9659258262890684,0.2588190451025203
425.8357320275878,0,0,1,1,5.961700248386229,-0.7071067811865471,-0.7071067811865479
472.99295778413745,0,0,1,1,6.621901408977924,-1.0,-1.8369701987210297e-16
215.07390404035468,0,0,1,1,3.0110346565649655,-0.2588190451025208,-0.9659258262890683
81.18527745685809,0,0,1,1,1.1365938843960133,-0.8660254037844386,0.5000000000000001
498.8025790322493,0,0,1,1,6.98323610645149,0.7071067811865476,-0.7071067811865475
